Timestep,Iteration,Total Reward,Suboptimal Arms,Regret
2,1,2,1,0.1
3,1,2,1,0.1
100,1,89,1,0.1
200,1,178,1,0.1
2000,1,1839,1,0.1
10000,1,8975,1,0.1
20000,1,17957,1,0.1
40000,1,36074,1,0.1
60000,1,53916,1,0.1
80000,1,72064,1,0.1
100000,1,89871,1,0.1
2,2,1,1,0.1
3,2,2,1,0.1
100,2,92,1,0.1
200,2,174,1,0.1
2000,2,1802,1,0.1
10000,2,9002,1,0.1
20000,2,18001,1,0.1
40000,2,35977,1,0.1
60000,2,54066,1,0.1
80000,2,71960,1,0.1
100000,2,90110,1,0.1
2,3,1,1,0.1
3,3,3,1,0.1
100,3,95,1,0.1
200,3,185,1,0.1
2000,3,1800,1,0.1
10000,3,9036,1,0.1
20000,3,18004,1,0.1
40000,3,35982,1,0.1
60000,3,54017,1,0.1
80000,3,72206,1,0.1
100000,3,89889,1,0.1
2,4,2,1,0.1
3,4,3,1,0.1
100,4,93,1,0.1
200,4,181,1,0.1
2000,4,1797,1,0.1
10000,4,8996,1,0.1
20000,4,17966,1,0.1
40000,4,35964,1,0.1
60000,4,54095,1,0.1
80000,4,72140,1,0.1
100000,4,90082,1,0.1
2,5,2,1,0.1
3,5,3,1,0.1
100,5,94,1,0.1
200,5,177,1,0.1
2000,5,1810,1,0.1
10000,5,8987,1,0.1
20000,5,18010,1,0.1
40000,5,36094,1,0.1
60000,5,54000,1,0.1
80000,5,72031,1,0.1
100000,5,89982,1,0.1
2,6,1,1,0.1
3,6,3,1,0.1
100,6,88,1,0.1
200,6,178,1,0.1
2000,6,1786,1,0.1
10000,6,9010,1,0.1
20000,6,18027,1,0.1
40000,6,35985,1,0.1
60000,6,54120,1,0.1
80000,6,71779,1,0.1
100000,6,90086,1,0.1
2,7,2,1,0.1
3,7,3,1,0.1
100,7,94,1,0.1
200,7,182,1,0.1
2000,7,1805,1,0.1
10000,7,8992,1,0.1
20000,7,18025,1,0.1
40000,7,35938,1,0.1
60000,7,53948,1,0.1
80000,7,71955,1,0.1
100000,7,89924,1,0.1
2,8,1,1,0.1
3,8,3,1,0.1
100,8,97,1,0.1
200,8,184,1,0.1
2000,8,1810,1,0.1
10000,8,9053,1,0.1
20000,8,18003,1,0.1
40000,8,36102,1,0.1
60000,8,54014,1,0.1
80000,8,72116,1,0.1
100000,8,89961,1,0.1
2,9,2,1,0.1
3,9,3,1,0.1
100,9,89,1,0.1
200,9,176,1,0.1
2000,9,1815,1,0.1
10000,9,8995,1,0.1
20000,9,18051,1,0.1
40000,9,35958,1,0.1
60000,9,53871,1,0.1
80000,9,72006,1,0.1
100000,9,89900,1,0.1
2,10,2,1,0.1
3,10,3,1,0.1
100,10,93,1,0.1
200,10,175,1,0.1
2000,10,1806,1,0.1
10000,10,9025,1,0.1
20000,10,18039,1,0.1
40000,10,36000,1,0.1
60000,10,53895,1,0.1
80000,10,71935,1,0.1
100000,10,89960,1,0.1
2,11,1,1,0.1
3,11,3,1,0.1
100,11,95,1,0.1
200,11,182,1,0.1
2000,11,1801,1,0.1
10000,11,8985,1,0.1
20000,11,17987,1,0.1
40000,11,35966,1,0.1
60000,11,53952,1,0.1
80000,11,71980,1,0.1
100000,11,89856,1,0.1
2,12,2,1,0.1
3,12,3,1,0.1
100,12,89,1,0.1
200,12,187,1,0.1
2000,12,1762,1,0.1
10000,12,8966,1,0.1
20000,12,17980,1,0.1
40000,12,35944,1,0.1
60000,12,54066,1,0.1
80000,12,71888,1,0.1
100000,12,89996,1,0.1
2,13,2,1,0.1
3,13,2,1,0.1
100,13,93,1,0.1
200,13,180,1,0.1
2000,13,1786,1,0.1
10000,13,9045,1,0.1
20000,13,17926,1,0.1
40000,13,35984,1,0.1
60000,13,54041,1,0.1
80000,13,71983,1,0.1
100000,13,89802,1,0.1
2,14,2,1,0.1
3,14,2,1,0.1
100,14,91,1,0.1
200,14,176,1,0.1
2000,14,1794,1,0.1
10000,14,9026,1,0.1
20000,14,18000,1,0.1
40000,14,36093,1,0.1
60000,14,54021,1,0.1
80000,14,72113,1,0.1
100000,14,90037,1,0.1
2,15,1,1,0.1
3,15,3,1,0.1
100,15,92,1,0.1
200,15,183,1,0.1
2000,15,1809,1,0.1
10000,15,9014,1,0.1
20000,15,18043,1,0.1
40000,15,36027,1,0.1
60000,15,54109,1,0.1
80000,15,72001,1,0.1
100000,15,90044,1,0.1
2,16,1,1,0.1
3,16,3,1,0.1
100,16,89,1,0.1
200,16,184,1,0.1
2000,16,1803,1,0.1
10000,16,8985,1,0.1
20000,16,17953,1,0.1
40000,16,36030,1,0.1
60000,16,53968,1,0.1
80000,16,71903,1,0.1
100000,16,90004,1,0.1
2,17,1,1,0.1
3,17,2,1,0.1
100,17,92,1,0.1
200,17,185,1,0.1
2000,17,1788,1,0.1
10000,17,8988,1,0.1
20000,17,18037,1,0.1
40000,17,36090,1,0.1
60000,17,53976,1,0.1
80000,17,72057,1,0.1
100000,17,90037,1,0.1
2,18,1,1,0.1
3,18,3,1,0.1
100,18,91,1,0.1
