Timestep,Iteration,Total Reward,Suboptimal Arms,Regret
2,1,1,1,0.1
3,1,3,1,0.1
100,1,81,42,4.2
200,1,176,73,7.3
2,2,1,1,0.1
3,2,3,1,0.1
100,2,88,36,3.6
200,2,168,71,7.1
2,3,2,1,0.1
3,3,2,1,0.1
100,3,85,34,3.4
200,3,177,46,4.6
2,4,2,1,0.1
3,4,3,1,0.1
100,4,81,27,2.7
200,4,168,74,7.4
2,5,2,1,0.1
3,5,3,1,0.1
100,5,89,34,3.4
200,5,171,71,7.1
2,6,2,1,0.1
3,6,3,1,0.1
100,6,91,37,3.7
200,6,163,75,7.5
2,7,1,1,0.1
3,7,3,1,0.1
100,7,85,35,3.5
200,7,160,62,6.2
2,8,2,1,0.1
3,8,3,1,0.1
100,8,84,34,3.4
200,8,168,69,6.9
2,9,2,1,0.1
3,9,3,1,0.1
100,9,86,38,3.8
200,9,168,100,10.0
2,10,1,1,0.1
3,10,2,1,0.1
100,10,92,45,4.5
200,10,174,57,5.7
2,11,2,1,0.1
3,11,2,1,0.1
100,11,86,41,4.1
200,11,170,78,7.8
2,12,1,1,0.1
3,12,3,1,0.1
100,12,80,29,2.9
200,12,174,51,5.1
2,13,1,1,0.1
3,13,2,1,0.1
100,13,89,34,3.4
200,13,173,79,7.9
2,14,2,1,0.1
3,14,3,1,0.1
100,14,87,38,3.8
200,14,164,52,5.2
2,15,2,1,0.1
3,15,2,1,0.1
100,15,87,41,4.1
200,15,179,69,6.9
2,16,1,1,0.1
3,16,3,1,0.1
100,16,84,29,2.9
200,16,181,56,5.6
2,17,2,1,0.1
3,17,1,1,0.1
100,17,90,48,4.8
200,17,168,45,4.5
2,18,2,1,0.1
3,18,3,1,0.1
100,18,86,34,3.4
200,18,170,91,9.1
2,19,2,1,0.1
3,19,2,2,0.2
100,19,85,42,4.2
200,19,168,80,8.0
2,20,2,1,0.1
3,20,3,1,0.1
100,20,89,45,4.5
200,20,170,68,6.8
2,21,2,1,0.1
3,21,2,2,0.2
100,21,91,33,3.3
200,21,178,67,6.7
2,22,2,1,0.1
3,22,3,1,0.1
100,22,87,42,4.2
200,22,174,58,5.8
2,23,2,1,0.1
3,23,3,1,0.1
100,23,86,35,3.5
200,23,179,63,6.3
2,24,1,1,0.1
3,24,3,1,0.1
100,24,85,40,4.0
200,24,179,71,7.1
2,25,2,1,0.1
3,25,3,1,0.1
100,25,90,41,4.1
200,25,181,79,7.9
2,26,1,1,0.1
3,26,3,1,0.1
100,26,89,34,3.4
200,26,182,90,9.0
2,27,2,1,0.1
3,27,3,1,0.1
100,27,86,38,3.8
200,27,174,68,6.8
2,28,1,1,0.1
3,28,3,1,0.1
100,28,89,45,4.5
200,28,176,63,6.3
2,29,2,1,0.1
3,29,2,1,0.1
100,29,91,46,4.6
200,29,167,68,6.8
2,30,1,1,0.1
3,30,3,1,0.1
100,30,88,40,4.0
200,30,165,64,6.4
2,31,1,1,0.1
3,31,3,1,0.1
100,31,84,32,3.2
200,31,175,62,6.2
2,32,2,1,0.1
3,32,3,1,0.1
100,32,91,37,3.7
200,32,171,86,8.6
2,33,2,1,0.1
3,33,3,1,0.1
100,33,90,41,4.1
200,33,173,44,4.4
2,34,2,1,0.1
3,34,3,1,0.1
100,34,83,43,4.3
200,34,179,76,7.6
2,35,2,1,0.1
3,35,3,1,0.1
100,35,84,29,2.9
200,35,166,66,6.6
2,36,1,1,0.1
3,36,2,1,0.1
100,36,84,44,4.4
200,36,172,75,7.5
2,37,1,1,0.1
3,37,2,1,0.1
100,37,92,43,4.3
200,37,175,74,7.4
2,38,2,1,0.1
3,38,2,1,0.1
100,38,87,43,4.3
200,38,176,72,7.2
2,39,1,1,0.1
3,39,2,1,0.1
100,39,88,33,3.3
200,39,170,78,7.8
2,40,1,1,0.1
3,40,2,1,0.1
100,40,83,36,3.6
200,40,172,78,7.8
2,41,2,1,0.1
3,41,3,1,0.1
100,41,89,39,3.9
200,41,172,65,6.5
2,42,1,1,0.1
3,42,2,1,0.1
100,42,81,47,4.7
200,42,171,86,8.6
2,43,2,1,0.1
3,43,2,1,0.1
100,43,87,19,1.9
200,43,161,74,7.4
2,44,2,1,0.1
3,44,3,1,0.1
100,44,88,31,3.1
200,44,182,52,5.2
2,45,2,1,0.1
3,45,2,2,0.2
100,45,81,37,3.7
200,45,160,92,9.2
2,46,2,1,0.1
3,46,3,1,0.1
100,46,88,45,4.5
200,46,171,35,3.5
2,47,2,1,0.1
3,47,3,1,0.1
100,47,90,43,4.3
200,47,178,67,6.7
2,48,2,1,0.1
3,48,3,1,0.1
100,48,89,24,2.4
200,48,172,59,5.9
2,49,2,1,0.1
3,49,3,1,0.1
100,49,86,35,3.5
200,49,174,85,8.5
2,50,2,1,0.1
3,50,2,1,0.1
100,50,91,28,2.8
200,50,181,68,6.8
2,51,1,1,0.1
